Hs in m, Tp in sec, Dp in deg, Depth in m

 yr,  mo,  da,  hr,  mn,  sc,  Hs,  H1/10, H1/3, Hmax,  Tp, T1/10, T1/3, Tmax,   Dp,  Depth,     CM,       CD
22,10,11,16,27,00,0.17,-0.00,-0.00,-0.00, 5.1,-0.1,-0.1,-0.1, 201,  9.982,   0.113,   202
22,10,11,18,27,00,0.22,-0.00,-0.00,-0.00, 5.1,-0.1,-0.1,-0.1, 169,  9.993,   0.122,   269
22,10,11,20,27,00,0.27,-0.00,-0.00,-0.00, 6.1,-0.1,-0.1,-0.1, 169, 11.200,   0.271,   340
22,10,11,22,27,00,0.17,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 177, 12.484,   0.213,   345
22,10,12,00,27,00,0.22,0.38,0.31,0.47, 5.1, 4.4, 4.0, 4.8, 193, 12.747,   0.060,    66
22,10,12,02,27,00,0.26,0.56,0.48,-0.00, 7.5, 5.6, 4.9,-0.1, 149, 11.711,   0.255,   148
22,10,12,04,27,00,0.19,0.32,0.26,-0.00,25.6, 5.6, 4.7,-0.1, 353, 10.223,   0.125,   194
22,10,12,06,27,00,0.23,0.40,0.32,-0.00,18.3, 6.7, 6.1,-0.1, 197, 10.097,   0.127,   261
22,10,12,08,27,00,0.19,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 189, 11.195,   0.247,   330
22,10,12,10,27,00,0.15,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1, 153, 12.566,   0.216,   340
22,10,12,12,27,00,0.21,0.31,0.25,0.38,11.6, 4.1, 3.6, 2.6, 169, 12.991,   0.037,    58
22,10,12,14,27,00,0.22,-0.00,-0.00,-0.00, 3.7,-0.1,-0.1,-0.1, 216, 12.095,   0.245,   146
22,10,12,16,27,00,0.23,0.39,0.32,-0.00, 9.8, 6.1, 5.2,-0.1, 161, 10.404,   0.181,   192
22,10,12,18,27,00,0.16,-0.00,-0.00,-0.00,11.6,-0.1,-0.1,-0.1, 161,  9.916,   0.109,   268
22,10,12,20,27,00,0.26,0.56,0.46,0.66, 3.9, 4.8, 4.4, 4.6, 189, 10.732,   0.139,   339
22,10,12,22,27,00,0.20,-0.00,-0.00,-0.00, 3.3,-0.1,-0.1,-0.1, 168, 12.109,   0.261,   339
22,10,13,00,27,00,0.21,0.35,0.29,0.49, 9.8, 4.4, 3.8, 5.6, 193, 12.776,   0.118,   346
22,10,13,02,27,00,0.18,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 177, 12.270,   0.161,   132
22,10,13,04,27,00,0.25,-0.00,-0.00,-0.00, 2.6,-0.1,-0.1,-0.1, 213, 10.860,   0.170,   180
22,10,13,06,27,00,0.24,0.36,0.29,0.47, 2.2, 4.0, 3.7, 5.9, 277, 10.239,   0.107,   255
22,10,13,08,27,00,0.21,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 177, 10.885,   0.131,   324
22,10,13,10,27,00,0.27,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 153, 12.229,   0.258,   338
22,10,13,12,27,00,0.33,0.45,0.37,0.58, 2.5, 3.2, 3.1, 2.3, 317, 12.994,   0.101,   346
22,10,13,14,27,00,0.22,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 185, 12.573,   0.137,   121
22,10,13,16,27,00,0.33,-0.00,-0.00,-0.00, 2.7,-0.1,-0.1,-0.1, 165, 11.086,   0.247,   176
22,10,13,18,27,00,0.33,-0.00,-0.00,-0.00, 3.1,-0.1,-0.1,-0.1, 173, 10.078,   0.143,   235
22,10,13,20,27,00,0.56,0.70,0.58,0.98, 3.1, 3.5, 3.5, 2.9, 169, 10.420,   0.143,   278
22,10,13,22,27,00,0.42,0.67,0.57,0.85, 3.5, 3.8, 3.5, 7.1, 173, 11.605,   0.289,   343
22,10,14,00,27,00,0.60,-0.00,-0.00,-0.00, 3.3,-0.1,-0.1,-0.1, 173, 12.550,   0.135,   348
22,10,14,02,27,00,0.52,-0.00,-0.00,-0.00, 3.1,-0.1,-0.1,-0.1, 161, 12.468,   0.077,   100
22,10,14,04,27,00,0.74,1.33,1.13,1.57, 4.7, 5.0, 4.3, 4.9, 173, 11.431,   0.166,   149
22,10,14,06,27,00,0.63,0.81,0.67,1.01, 5.1, 4.5, 4.4, 5.3, 177, 10.459,   0.113,   248
22,10,14,08,27,00,0.71,0.92,0.80,-0.00, 5.1, 4.4, 4.3,-0.1, 173, 10.726,   0.150,   285
22,10,14,10,27,00,0.84,-0.00,-0.00,-0.00, 6.7,-0.1,-0.1,-0.1, 177, 11.839,   0.224,   340
22,10,14,12,27,00,0.88,1.03,0.86,1.34, 8.5, 5.3, 5.2, 6.1, 177, 12.787,   0.135,   342
22,10,14,14,27,00,1.01,1.23,1.02,1.59, 7.5, 5.3, 5.3, 4.1, 193, 12.811,   0.102,   138
22,10,14,16,27,00,0.90,1.10,0.95,-0.00, 7.5, 4.9, 4.6,-0.1, 189, 11.698,   0.132,   164
22,10,14,18,27,00,0.94,1.11,0.94,1.48, 8.5, 5.4, 5.4, 6.4, 178, 10.423,   0.171,   221
22,10,14,20,27,00,1.02,1.25,1.04,1.56, 8.5, 6.2, 6.1, 5.9, 189, 10.296,   0.167,   257
22,10,14,22,27,00,1.03,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 189, 11.192,   0.211,   343
22,10,15,00,27,00,1.08,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 177, 12.227,   0.208,   342
22,10,15,02,27,00,1.15,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 189, 12.503,   0.041,   156
22,10,15,04,27,00,0.98,1.10,0.98,-0.00, 8.5, 5.2, 4.7,-0.1, 205, 11.912,   0.138,   140
22,10,15,06,27,00,1.02,1.14,1.02,1.61, 9.8, 5.4, 5.2, 7.3, 189, 10.815,   0.116,   210
22,10,15,08,27,00,0.94,1.18,1.00,1.43, 7.5, 6.2, 5.7, 6.9, 188, 10.591,   0.166,   256
22,10,15,10,27,00,1.12,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 186, 11.382,   0.264,   334
22,10,15,12,27,00,0.86,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 182, 12.386,   0.220,   342
22,10,15,14,27,00,0.84,1.11,0.91,1.49, 8.5, 8.3, 8.3, 8.6, 193, 12.787,   0.076,   349
22,10,15,16,27,00,0.80,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 197, 12.112,   0.118,   149
22,10,15,18,27,00,0.72,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 201, 10.866,   0.165,   195
22,10,15,20,27,00,0.86,1.06,0.88,1.32, 8.5, 7.2, 6.9, 7.6, 173, 10.259,   0.113,   243
22,10,15,22,27,00,0.83,1.08,0.94,1.40, 7.5, 6.2, 5.8, 5.9, 193, 10.755,   0.104,   307
22,10,16,00,27,00,0.69,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 185, 11.799,   0.232,   339
22,10,16,02,27,00,0.61,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 185, 12.391,   0.072,   336
22,10,16,04,27,00,0.62,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 189, 12.125,   0.070,   147
22,10,16,06,27,00,0.58,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1, 193, 11.177,   0.126,   165
22,10,16,08,27,00,0.57,0.80,0.66,0.98, 8.5, 6.3, 6.2, 6.5, 161, 10.640,   0.120,   243
