Hs in m, Tp in sec, Dp in deg, Depth in m

 yr,  mo,  da,  hr,  mn,  sc,  Hs,  H1/10, H1/3, Hmax,  Tp, T1/10, T1/3, Tmax,   Dp,  Depth,     CM,       CD
22,10,10,18,19,06,0.37,0.48,0.39,0.65, 6.1, 5.2, 5.0, 5.8, 165, 12.596,   0.228,   287
22,10,10,20,19,06,0.29,-0.00,-0.00,-0.00, 6.1,-0.1,-0.1,-0.1, 169, 14.109,   0.338,   299
22,10,10,22,19,06,0.26,0.34,0.28,0.50, 6.1, 5.9, 5.8, 5.5, 173, 15.254,   0.149,   301
22,10,11,00,19,06,0.44,0.58,0.48,0.73, 4.7, 4.6, 4.2, 5.3, 225, 15.163,   0.154,   115
22,10,11,02,19,06,0.25,-0.00,-0.00,-0.00, 5.1,-0.1,-0.1,-0.1, 201, 13.712,   0.285,   135
22,10,11,04,19,06,0.20,-0.00,-0.00,-0.00, 4.7,-0.1,-0.1,-0.1, 182, 12.305,   0.139,   174
22,10,11,06,19,06,0.22,-0.00,-0.00,-0.00, 4.4,-0.1,-0.1,-0.1, 187, 12.521,   0.186,   281
22,10,11,08,19,06,0.54,0.78,0.64,0.91,25.6, 5.6, 5.2, 5.9, 161, 13.993,   0.334,   303
22,10,11,10,19,06,0.26,-0.00,-0.00,-0.00, 5.6,-0.1,-0.1,-0.1, 187, 15.264,   0.198,   294
22,10,11,12,19,06,0.35,0.48,0.38,0.62, 5.6, 5.4, 5.2, 5.4, 198, 15.382,   0.105,   116
22,10,11,14,19,06,0.29,0.45,0.36,0.62, 5.6, 5.4, 5.1, 5.5, 205, 14.051,   0.273,   125
22,10,11,16,19,06,0.16,-0.00,-0.00,-0.00, 5.1,-0.1,-0.1,-0.1, 165, 12.399,   0.199,   168
22,10,11,18,19,06,0.22,-0.00,-0.00,-0.00, 5.1,-0.1,-0.1,-0.1, 169, 12.275,   0.144,   270
22,10,11,20,19,06,0.29,-0.00,-0.00,-0.00, 5.6,-0.1,-0.1,-0.1, 173, 13.400,   0.322,   299
22,10,11,22,19,06,0.19,-0.00,-0.00,-0.00, 6.1,-0.1,-0.1,-0.1, 173, 14.817,   0.214,   295
22,10,12,00,19,06,0.21,-0.00,-0.00,-0.00, 6.1,-0.1,-0.1,-0.1, 188, 15.202,   0.037,    78
22,10,12,02,19,06,0.15,-0.00,-0.00,-0.00, 6.7,-0.1,-0.1,-0.1, 197, 14.232,   0.268,   122
22,10,12,04,19,06,0.15,0.32,0.26,-0.00, 9.8, 4.6, 4.0,-0.1, 165, 12.644,   0.192,   148
22,10,12,06,19,06,0.15,-0.00,-0.00,-0.00, 5.6,-0.1,-0.1,-0.1, 165, 12.391,   0.098,   268
22,10,12,08,19,06,0.20,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 161, 13.402,   0.294,   307
22,10,12,10,19,06,0.13,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1, 161, 14.887,   0.247,   295
22,10,12,12,19,06,0.22,0.34,0.27,-0.00, 9.8, 4.9, 4.2,-0.1, 157, 15.434,   0.024,   317
22,10,12,14,19,06,0.21,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1, 168, 14.614,   0.266,   124
